Name,Location,Overview,Phone,Industry,Company Size,Website,Headquarter,Type,Founded,Linked In URL,Address_0,Latitude_0,Longitude_0,City_0,Location_description_0,Address_1,Latitude_1,Longitude_1,City_1,Location_description_1,Address_2,Latitude_2,Longitude_2,City_2,Location_description_2,Address_3,Latitude_3,Longitude_3,City_3,Location_description_3,Address_4,Latitude_4,Longitude_4,City_4,Location_description_4,Address_5,Latitude_5,Longitude_5,City_5,Location_description_5,Country
Jackson Clements Burrows (JCB) Architects,"345 Swan Street, Richmond, Vic 3121, AU","Jackson Clements Burrows (JCB) Architects is an award-winning architecture, interior design and urban design studio based in Melbourne, Australia.Established by Tim Jackson, Jon Clements and Graham Burrows, we are a collaborative multidisciplinary team of more than 50 architects, interior designers and urban designers.JCB Architects is a design-focused practice united by a shared commitment to environmentally sustainable design. Our extensive portfolio of built work has been internationally recognised in design media and includes commercial, public, education, hospitality, multi residential, residential, student living and workplace.",null,Architecture and Planning,51-200 employees,http://www.jcba.com.au,"Richmond, Vic",Privately Held,1998,https://www.linkedin.com/company/jackson-clements-burrows-architects/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
JSB Lighting,null,"Incorporated in 1991, JSB has showrooms in Sydney, Melbourne, Brisbane, Perth & Auckland. Employing 26 staff with a turnover in excess of AUD$22 million. JSB is 100% owned by HGL Ltd, an Australian ASX listed public company ensuring long term stability and growth for customers, staff and suppliers.",02-9571-8800,Architecture and Planning,11-50 employees,http://www.jsblighting.com.au,"Sydney, NSW",Public Company,1991,https://www.linkedin.com/company/jsb-lighting/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CSP Architectural Australia,null,"CSP Architectural is the Australian market leader in the specification and supply of innovative facade materials to suit all commercial and residential buildings. CSP Architectural distribute our brands Australia wide with specification specialists in Melbourne, Brisbane & Adelaide. The products we represent are recognised building materials that perform to Australian standards offering Quality; Performance, Sustainability, Innovation and Modern Style Design to all architectural projects.  Our product lines are  EQUITONE (Through-colour Cement), INNOWOOD (Timber Composite), PROMAT (Fire Rated Systems), VITRAPANEL (Pre-finished panels) , JAMES HARDIE (Fibre Cement) , KEYSTONE ACOUSTICS (Acoustic Panels), ALIWOOD(Non-combustimer timber finish aluminium, ALFREX(Solid Aluminium), ALCADEX( Non-combustible aluminium composite panel), LARCORE A2(Non-combustible honeycomb panel) and MILLBOARD( COMPOSITE DECKING).   At CSP Architectural we put our customers first, offering full design support to architects, designers and builders with technical details, customising system to designs, installation guides, colour charts and more. CSP can assist from the initial design to the final completion stage.  We also offer a complete cut to size service, punching and slotting of fibre cement and perforation on composite aluminium sheets.CSP Architectural is your facade design partner.",null,Architecture and Planning,51-200 employees,http://www.csparchitectural.com.au,"Deer Park, Vic",Public Company,1978,https://www.linkedin.com/company/csp-architectural/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Cameron Chisholm Nicol,"Level 3 Sheffield House, 713 Hay Street, Perth, WA 6000, AU","Cameron Chisholm Nicol is an award-winning leader in integrated architectural, urban and interior design. We are partners in design, collaborating with our clients to translate their needs and aspirations into built form.What we doGood design makes life better. Our finely-crafted design solutions are attuned to people, to purpose, and to our clients'​ unique business imperatives. Together we establish a shared vision which becomes the blueprint for design and delivery.  From sensitive adaptive reuse to large-scale urban infrastructure, we deliver responsive design that balances economic, environmental and social outcomes. Our peopleGreat architecture is the result of many people working together. We have a staff over forty creative thinkers who love solving design challenges.  The depth of expertise across our multi-disciplinary team underpins consistently high standards across every aspect of our service. Work with usWhat do you want to achieve? For whom, where and why? Cameron Chisholm Nicol’s clients enjoy working with an organisation that brings creativity, technology and pragmatism to every project. We build on the past to make a better future.Recent awards2018 AIA WA State Award for Enduring Architecture2017 WA Architecture Awards  // Howard Krantz Award for Residential Architecture - Multiple Housing // The Pocket, Claremont 2017 WA Architecture Awards // Commendation for Multiple Housing // Heirloom, Fremantle2016 WA Architecture Awards // Architecture Award for Multiple Housing // Mika, South Fremantle 2015 WA Architecture Awards // Commendation for Multiple Housing // Helm, Port Coogee2015 Property Council of Australia Rider Levitt Bucknall Innovation and Excellence Awards // Woods Bagot Best Public Building Award // Perth Arena2014 UDIA Medium Density Award // Kingston, Cockburn Central2013 Australian Architecture Awards  // Sir Zelman Cowen Award for Public Architecture // Perth Arena",null,Architecture and Planning,11-50 employees,http://www.ccnwa.com.au,"Perth, WA",Privately Held,1884,https://www.linkedin.com/company/cameron-chisholm-nicol/,"3, Sheffield House, 713 Hay Street, Perth WA 6000, Australia",-31.9539874,115.8574834,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Kinetica Studio Pty Ltd,"Level 25, 500 Collins Street, Melbourne,  3000, AU","kinetica is an independent planning and urban design consultancy.We undertake a broad spectrum of commissions for public, private and profit-for-purpose organisations across Australia, with a focus on complex challenges.Our cause is to create a better lived experience by facilitating and shaping positive change.",null,Architecture and Planning,11-50 employees,http://www.kinetica.net.au,null,Privately Held,1997,https://www.linkedin.com/company/kineticastudio/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Interite Healthcare Interiors,null,"SPECIALISTS IN MEDICAL FITOUTSInterite Healthcare Interiors  is a healthcare focused design firm with our own experienced and dedicated in-house construction team of registered builders and project managers. We constantly deliver beyond expectation. For over 20 years we have been servicing some of Australia's leading healthcare providers - nationwide.A division of Interite Corporate Interiors, a registered fitout builder (100798) with a heritage of over 30 years  of success.At Interite Healthcare Interiors, our vision is to be Australia’s leading healthcare design and construction team, in bringing the absolute optimum space for a given budget. Our mission is to vastly improve patient experience, staff work lives as well as practice efficiency.Interite Healthcare Interiors is a truly multidimensional company as we combine our consultative, strategic and architectural expertise with our highly regarded building, construction and project management services.Interite Healthcare Interiors delivers approximately 200 medical fitout projects around Australia every year. These range in size from relatively small clinic fitouts to complex healthcare refurbishments and healthcare relocation projects in Perth, Adelaide, Sydney and Melbourne.What sets Interite Healthcare Interiors apart from our contemporaries is our personal focus on delivering every healthcare project we undertake on time and on budget. Further more we focus on building more value from our teams collective intelligence and signature project delivery model which ensure every healthcare project we undertake is delivered 30% faster and 10% cheaper* than by any other means.If you want to be assured of your healthcare project's outcome - trust only the healthcare interiors specialist.Contact Interite Healthcare Interiors at 1800 973 236 or email info@interitehealthcare.com.au.",null,Architecture and Planning,51-200 employees,http://www.interitehealthcare.com.au,"Perth, Western Australia",Privately Held,1986,https://www.linkedin.com/company/interitehealthcare/,"level 1/10 Tacoma Cct, Canning Vale WA 6155, Australia",-32.0617002,115.9174178,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Leffler Simes Architects,null,"Leffler Simes is well recognised as one of Australia's leading Architectural and Interior Design Practices with offices in Sydney, Melbourne, Brisbane and more recently a presence in Beijing. 

Since the 1960’s, we have delivered successful developments in all states of Australia, as well as New Zealand, Asia and Europe. Leffler Simes'​ years of experience have built a commitment to professional service, with a sense of economic reality in the design and development of projects. 

Our long standing relationship with major International Companies demonstrates that our client’s needs on each project have great importance to us and shows our ability to deliver a quality project each time. 

Leffler Simes encompasses all sectors of the architectural sphere; Retail, Commercial, Industrial, Hospitality, Education, Medical, Leisure and Residential.

In 2014 we were proud to register Leffler Architects Beijing Pty. Ltd. in China. Although we have had projects all around the world this is Leffler Simes’ first international presence. We currently have several projects under construction in Liaoning, Northern China with projects recently completed. 

The practice culture is energetic, multi-faceted and varied, enabling Leffler Simes to produce quality design solutions whilst providing a highly professional service. We are also environmentally conscious, commercially sound, and with strong social values aimed to benefit the communities in which we live and work. 

It is our objective to continually evolve and develop as a Design Practice, always striving to create new and interesting solutions ensuring an Architecture that embodies our Client's values and aspirations, as well as our own.",null,Architecture and Planning,51-200 employees,http://www.lefflersimes.com.au,"Sydney, New South Wales",Privately Held,1968,https://www.linkedin.com/company/leffler-simes/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Webber Architects,null,"Webber Architects, with offices in both Newcastle and Sydney, encompasses over 20 years'​ experience in architecture, urban design, master planning, and interior design.  We are currently working on commercial and residential projects statewide.

Our residential portfolio includes a range of high, medium and low density multi-residential dwellings as well as both affordable and custom architectural single homes.

Our commercial portfolio includes universities, schools and child care facilities; libraries; sporting, recreational and community facilities; medical facilities; clubs and other hospitality venues; and office fit outs.  Our commercial clients include:

University of Newcastle (Callaghan and Ourimbah campuses)
Newcastle University Sport (NUSport)
TAFE NSW
NSW Department of Education
Catholic Schools Office (CSO)
Catholic Development Fund
Newcastle, Port Stephens, Maitland, Cessnock, Wyong and Wollondilly Councils
Cooks Hill Surf Life Saving Club
Fire and Rescue NSW

Our team at Webber Architects is actively involved with the Australian Institute of Architecture (AIA), the Hunter Business Chamber (HBC) and the Urban Development Institute of Australia (UDIA) as well as with local sporting and community groups.",null,Architecture and Planning,11-50 employees,http://www.webberarchitects.com,"Newcastle, New South Wales",Privately Held,null,https://www.linkedin.com/company/webber-architects/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Cachet Group,null,"Cachet designs and delivers bespoke commercial interiors. Our dedicated teams work throughout the Asia-Pacific region, through a worldwide network offering tailored strategy, interior design, project management and construction delivery services.We take a highly personalised approach to all projects, making the time to truly understand specific needs before shaping the process. Our designs are thoughtful, fit-for-purpose and delivered with a consistent quality focus in each and every detail. We offer the same dedicated staff throughout, who advise and guide from end-to-end, providing efficiencies as well as ensuring both the process and outcomes are unique and joyful. Personalised, meaningful spaces that allow brands and their people to reach their full potential.",null,Architecture and Planning,11-50 employees,http://www.cachetgroup.com/,"Sydney, NSW",Privately Held,2009,https://www.linkedin.com/company/cachet-group/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
HVG Facades,null,"HVG Facades, a division of Halifax Vogel Group Pty Limited (HVG), distributes a range of superior and innovative facade products throughout Australia for the construction industry.Our products are used in a variety of cladding applications including commercial, education, aged care, multi residential and for recladding.  We are the trusted leader in the supply of façade materials.The HVG Façades range offers high fire performance, low maintenance and durable cladding solutions that suit the harsh Australian environment, ensuring complete design freedom.Products: ALUCOBOND®, MondoClad , Swisspearl ®, Zintl , SIDERISE® , Trespa ®  , DIBOND ® and Terreal facade systems.Full local technical and sales support is available in each state 1300 881 712",null,Architecture and Planning,51-200 employees,http://www.hvgfacades.com.au,"Turrella, NSW",Privately Held,2013,https://www.linkedin.com/company/hvgfacades/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Perrott Painting,"52 Edward Street, Osborne Park, Western Australia 6017, AU","Perrott Painting. A Western Australian owned and operated painting contractor, specialising in the repainting of all types of existing properties and facilities.Located in Osborne Park, our current, purpose built premises were constructed in 2006, and comprises our head office, training room, and warehouse facilities.  We currently employ approximately 70 staff, and have our own fleet of company owned vehicles, scaffold, cherry pickers, spiderlifts, and other specialised access equipment. For four generations, the Perrott family has been actively involved in the Western Australian community, and as such, have proven ourselves a trusted service provider. So confident are we in our quality, professionalism and service, that we are pleased to be able to offer the Perrott Guarantee.",null,Architecture and Planning,51-200 employees,http://www.perrottpainting.com.au,"Osborne Park, Western Australia",Privately Held,1917,https://www.linkedin.com/company/perrottpainting/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Hargreaves Design Group,null,"A building design company with 4 offices in the South Eastern & Eastern suburbs of Melbourne, Perth & Bunbury WA, specialising in Residential, Medium Density & Commercial design.",03 5940 2340,Architecture and Planning,11-50 employees,http://www.harvan.com.au,"Pakenham, Victoria",Privately Held,1999,https://www.linkedin.com/company/harvan-design/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Outerspace Landscape Architects,null,"Outerspace - The right team in the right spaceWe vision, design and create spaces that are amazing and beautifully crafted.  We design sustainable and enduring outcomes, benefiting the built and natural environment.  Our team of talented designers will collaborate with integrity to deliver projects.   We are renowned for a rigorous design and research process to ensure innovative outcomes for current and future generations.As a multidisciplinary team of qualified and experienced landscape architects and project managers, we are able to offer the full range of creative, design and project management services necessary to deliver finished and functional environments.  Our experiences, talents and inspired works span:- Landscape Architecture- Urban Design- Green Infrastructure- Signage and Wayfinding- Playspaces- Community Consultation",882233228,Architecture and Planning,11-50 employees,http://www.outerspace.net.au,"Adelaide, South Australia",Privately Held,2004,https://www.linkedin.com/company/outerspace-landscape-archtiects/,"258A Rundle St, Adelaide SA 5000, Australia",-34.922308,138.609147,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Minx Architecture,"91 Moreland St, 7A, Footscray, Victoria 3011, AU","We are Education Space Designers
 
We believe that the best avenue for encouraging, understanding and appreciating design is through the creation of good working examples.
 
Collaboration and consultation is the key to our approach. We have come to understand that by involving the user groups in the development of the project, we ultimately come to a better design solution.",null,Architecture and Planning,2-10 employees,http://minxarchitecture.com.au,"Footscray, Victoria",Privately Held,2001,https://www.linkedin.com/company/minx-architecture/,"91 Moreland St, Footscray, Victoria, 3011, AU",-25.574999,134.3547,Footscray,The Cotton Mills,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Petridis Architects,"173 Upper Heidelberg Rd, Ivanhoe,  3079, AU","Petridis Architects is an architecture & planning company based out of 173 Upper Heidelberg Rd, Ivanhoe, Australia.E. office@petridisarchitects.com.au",394998826,Architecture and Planning,11-50 employees,http://petridisarchitects.com.au,null,Privately Held,null,https://www.linkedin.com/company/petridis-architects/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Laboratorio Italiano Design,null,"Established in 2014 in Sydney, “Laboratorio Italiano Design” is a new company which Proudly offers the best European Design to Australian houses.
 We aim to create the best habitat for every customer through our knowledgeable experience and our curiosity driven by perfection, whether a Modern or a Classic Style is required.
Our goal is to make your dreams come true, using the best combination of materials, a wide range of lighting scenarios and the infusion of the softer structural forms .
Our purpose is to support you, as we are always looking for innovative and unique solutions according to your requirements. We firmly believe that an excellent Custom Design leads to a higher level of quality, which is our purpose.",35216920,Architecture and Planning,2-10 employees,http://www.laboratorioitalianodesign.com,null,Privately Held,2015,https://www.linkedin.com/company/laboratorioitalianodesign/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Proske Architects,"26 Wakeham St, Adelaide, SA 5000, AU","We are a boutique, studio based practice focused on contemporary architecture that is efficient, pragmatic and design-driven. We avoid trends and approach each project as a unique opportunity to seek a contextually responsive & bespoke solution.

Our work is characterised by its restraint in design.
Modern yet timeless, elegant yet comfortable.

Based in Adelaide, South Australia, we have had experience in a wide range of fields and disciplines. With a proven track record on both Residential and commercial projects, our clear understanding of every client’s brief and key goals is a driving principle behind our Design ethos.

With over 18 years in the industry our director, Rolf Proske, has established a collaborative design studio that brings together a diverse team of highly qualified and talented individuals, combining his wealth of experience with the dynamic approach of a young, design focused studio culture.

We love what we do and we bring a positive and proactive attitude to our work and your design.",null,Architecture and Planning,2-10 employees,http://proske.com.au,"Adelaide, SA",Sole Proprietorship,null,https://www.linkedin.com/company/proske-architects/,"26 Wakeham St, Adelaide, SA, 5000, AU",-34.897945,138.59166,Adelaide,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
